phase,step,elapsed_seconds,combined_training_elapsed_seconds,train_nll,train_ppl,validation_nll,validation_ppl,learning_rate,tokens_per_second
initial,13300,2976.0843064561486,2976.0843064561486,3.9178199768066406,50.29069031659681,4.145141035318375,63.12652434340959,0.0003114666193096908,146438.86231803615
initial,13400,2997.821611441672,2997.821611441672,3.306584596633911,27.291753763973404,4.187484860420227,65.8569430784129,0.0003089889817994723,146470.0895890994
initial,13500,3019.7892895042896,3019.7892895042896,3.615697741508484,37.17727700733889,4.1740163415670395,64.97589412969263,0.00030650607197068967,146489.69103159395
initial,13600,3041.6841710731387,3041.6841710731387,4.102359056472778,60.48280177679386,4.139233350753784,62.754692164974486,0.00030401817141031425,146512.51574313574
initial,13700,3064.4282654821873,3064.4282654821873,3.620590567588806,37.35962469184935,4.139642670750618,62.780384173140405,0.00030152556227131666,146494.40649554975
initial,13800,3086.407681249082,3086.407681249082,4.320981025695801,75.26242646144114,4.1423057317733765,62.947794980885845,0.0002990285272406674,146512.85465210915
initial,13900,3108.3577914088964,3108.3577914088964,4.028074502944946,56.15268525605807,4.123439967632294,61.77136871015933,0.0002965273495072779,146532.42340983887
initial,14000,3130.2516838163137,3130.2516838163137,3.919530987739563,50.376811894022495,4.171995863318443,64.84474428623994,0.000294022312729884,146554.34972586698
initial,14100,3153.5304200425744,3153.5304200425744,3.655542492866516,38.6885036604582,4.187426656484604,65.85311005668717,0.0002915137010048754,146511.60396726485
initial,14200,3175.411269403994,3175.411269403994,3.9994993209838867,54.57082072727993,4.156895533204079,63.87292311771385,0.00028900179883407733,146533.96379969866
initial,14300,3197.4122103080153,3197.4122103080153,4.0976890325546265,60.20100415881382,4.106664299964905,60.743756298839344,0.0002864868910924845,146550.51309598275
initial,14400,3219.8433658480644,3219.8433658480644,4.366718292236328,78.78465876890539,4.105716317892075,60.68619959250494,0.0002839692629959537,146547.25288965058
initial,14500,3242.4905549883842,3242.4905549883842,3.847459316253662,46.873820263115604,4.1076715141534805,60.80496909407393,0.00028144920006885723,146534.27417669134
initial,14600,3264.2430292516947,3264.2430292516947,4.002841114997864,54.753490221236795,4.0918905436992645,59.85293940714169,0.00027892698811170187,146561.636407836
initial,14700,3286.6683575958014,3286.6683575958014,4.453230857849121,85.90403987397508,4.09097146987915,59.79795540852294,0.00027640291316871575,146558.6264238586
initial,14800,3309.0570562705398,3309.0570562705398,3.371626853942871,29.125872075466116,4.115675613284111,61.29361105492581,0.0002738772614954088,146557.27953708346
initial,14900,3331.155684068799,3331.155684068799,3.7709338665008545,43.42059494711776,4.132141202688217,62.31120110736663,0.00027135031952610757,146568.71257474265
initial,15000,3353.0238590613008,3353.0238590613008,3.0663132667541504,21.462629645278632,4.133732318878174,62.410424385212885,0.0002688223738414715,146590.06934045616
initial,15100,3376.7249482274055,3376.7249482274055,4.0384910106658936,56.74065712592676,4.057013660669327,57.80143837037635,0.00026629371113599126,146531.5675947314
initial,15200,3399.223284162581,3399.223284162581,3.6137951612472534,37.10661149865573,4.055945068597794,57.73970520127245,0.00026376461818547497,146525.70848187263
initial,15300,3421.698030233383,3421.698030233383,4.081667900085449,59.24420089797234,4.096727654337883,60.14315603620743,0.00026123538181452505,146520.93655552782
initial,15400,3443.5603745803237,3443.5603745803237,3.6586108207702637,38.807394981295914,4.07906636595726,59.09027539547666,0.0002587062888640087,146542.28330801384
initial,15500,3465.7280761301517,3465.7280761301517,3.4394590854644775,31.170093250968165,4.040791243314743,56.87132406252785,0.0002561776261585285,146550.44736433218
initial,15600,3488.0506593585014,3488.0506593585014,4.730205535888672,113.31885104599934,4.1112266927957535,61.021526343300685,0.00025364968047389235,146551.99993397255
initial,15700,3509.951238669455,3509.951238669455,3.4661364555358887,32.012820254979886,4.081957817077637,59.26137928853457,0.00025112273850459125,146571.15299271778
initial,15800,3531.8951841965318,3531.8951841965318,3.296385407447815,27.01481468183612,4.096678048372269,60.140172650874625,0.0002485970868312842,146588.26862037217
initial,15900,3553.6643717959523,3553.6643717959523,4.055281400680542,57.70139792444017,4.075480490922928,58.878764504618395,0.0002460730118882982,146612.38245656024
initial,16000,3575.6342848166823,3575.6342848166823,3.8307366371154785,46.09648211013544,4.087164670228958,59.570749311221356,0.00024355079993114277,146627.97093827493
initial,16100,3599.21689376235,3599.21689376235,4.014986872673035,55.42256784754906,4.1033154129981995,60.54067256709202,0.00024103073700404635,146577.66274499882
continuation,16200,21.92747700214386,3621.927477002144,4.004883527755737,54.865433726710734,4.119761139154434,61.544539927745035,0.0002385131089075155,143460.5540661354
continuation,16300,44.4749973192811,3644.474997319281,3.9702831506729126,52.99953556943679,4.085165411233902,59.451770928749426,0.0002359982011659227,144407.60847928512
continuation,16400,66.95523668080568,3666.9552366808057,3.9915199279785156,54.1371113719822,4.0789846032857895,59.08544421421023,0.00023348629899512456,144862.87377698935
continuation,16500,89.07531480491161,3689.0753148049116,4.145045757293701,63.12051005938475,4.046461403369904,57.194709529768296,0.00023097768727011606,145675.91513338662
continuation,16600,110.85303818434477,3710.8530381843448,3.5282881259918213,34.06560165337837,4.1115363240242,61.040423438878555,0.00022847265049272207,146616.8926554087
continuation,16700,132.8471408188343,3732.8471408188343,3.7009472846984863,40.4856376259743,4.084021121263504,59.38377977177173,0.00022597147275933263,147009.0201386644
continuation,16800,154.5062214806676,3754.5062214806676,3.778176188468933,43.73620236152716,4.092585846781731,59.89456981160324,0.00022347443772868347,147609.12396562388
continuation,16900,176.74203342199326,3776.7420334219933,3.866954803466797,47.79661415765791,4.068767428398132,58.484831405268096,0.00022098182858968577,147578.52161699906
continuation,17000,198.73197154700756,3798.7319715470076,3.4067907333374023,30.168270710183048,4.07421413064003,58.80424996682727,0.0002184939280293104,147737.31559873963
continuation,17100,222.8920022174716,3822.8920022174716,3.489051580429077,32.754867612590296,4.079167425632477,59.096247341272964,0.00021601101820052773,146424.85004085858
continuation,17200,244.80989203602076,3844.8098920360208,3.5459526777267456,34.672701523340955,4.051164329051971,57.46432549307736,0.00021353338069030924,146700.47726141612
continuation,17300,266.6719371974468,3866.671937197447,3.7047371864318848,40.639365336645525,4.025952935218811,56.033679814971954,0.000211061296487692,146961.57537935048
continuation,17400,289.1402039602399,3889.14020396024,4.036483407020569,56.62685864518681,4.034456953406334,56.51222313382502,0.00020859504595191245,146874.51768499045
continuation,17500,311.5576626509428,3911.557662650943,4.343839168548584,77.00259853935312,4.017351403832436,55.553771292345374,0.00020613490878061022,146823.95422657268
continuation,17600,334.52668783068657,3934.5266878306866,3.6461042165756226,38.32506867147659,4.040479689836502,56.85360836354111,0.00020368116397810815,146538.16805435528
continuation,17700,356.63125844299793,3956.631258442998,3.738945245742798,42.05361053956453,4.056867241859436,57.79297577211709,0.00020123408982376974,146643.7020364523
continuation,17800,378.7774050310254,3978.7774050310254,3.5994627475738525,36.578577234344934,4.040569558739662,56.85871796455912,0.0001987939638404401,146720.81085577933
continuation,17900,400.93858809769154,4000.9385880976915,3.616690993309021,37.214221749343935,4.064761087298393,58.250989958575055,0.0001963610627629717,146783.8959558077
continuation,18000,422.97674921154976,4022.9767492115498,3.9215731620788574,50.47979524575627,4.081242233514786,59.21898798867142,0.00019393566250684008,146883.08072680118
continuation,18100,446.96651040017605,4046.966510400176,4.141876697540283,62.92079401452493,4.058039486408234,57.86076299676451,0.00019151803813685178,146330.71265550065
continuation,18200,469.2950088977814,4069.2950088977814,3.7379778623580933,42.012948246646076,4.05041828751564,57.42147070711512,0.00018910846383595002,146350.8596891125
continuation,18300,491.2549727037549,4091.254972703755,3.756102442741394,42.78135781969548,4.074808940291405,58.83923770674053,0.00018670721287411876,146478.98138100616
continuation,18400,513.6388249248266,4113.638824924827,3.674183487892151,39.41645969771231,4.018326014280319,55.607940971145865,0.00018431455757739185,146475.1579303045
continuation,18500,535.9732092916965,4135.973209291697,3.972916841506958,53.13930393301378,4.02914372086525,56.21275682248171,0.0001819307692969678,146485.17246553415
continuation,18600,557.7709352001548,4157.770935200155,3.3107203245162964,27.404858755493212,4.019614860415459,55.67965725665081,0.0001795561183784366,146635.33511413648
